lengua y traducctor,id_título,título,anio primer edición,editorial1b 1,editorial1b 2,editorial1b 3,editorial1b 4,editorial1b 5,editorial1b 6,editorial2b,ciudad_ed,país_ed,lengua o idioma,género,género2
Traducción al francés de: Jean-Francis Reille.,217609,Les étoiles d' herbe,1962,Gallimard,,,,,,La croix du Sud,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Christophe Lucquin. Traducción al francés de: Andrés Felipe.,217620,Dans la penderie de Monsieur Bernard,2012,Christophe Lucquin Éditeur,,,,,,,París,Francia,Francés,,
Traducción al francés de : Gabriel Iaculli. Prefacio de: Jean Marie G. Le Clézio.,217623,Le Llano en flammes,2001,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Cuento
Traducción al francés de: Gabriel Iaculli.,217624,Pedro Páramo,2005,Gallimard,,,,,,Folio,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Gabriel Iaculli.,217627,Le coq d'or et autres textes pour le cinéma,1993,Gallimard,,,,,,L'Imaginaire,París,Francia,Francés,Títulos de géneros varios,
Traducción al francés de: Christophe Lucquin. Traducción al francés de: Andrés Felipe.,217628,La journée de la guenon et le patient,2012,Christophe Lucquin Éditeur,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Christophe Lucquin. Traducción al francés de: Brigitte Jensen.,217632,Vers,2013,Christophe Lucquin Éditeur,,,,,,,París,Francia,Francés,Narrativa,Cuento
Traducción al francés de : Margot Nguyen-Béraud.,217633,Umami,2017,Gallimard,,,,,,Folio,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Jean-Marie Saint-lu.,217635,Restos humanos,2015,Belfond,,,,,,Littérature étrangère,París,Francia,Francés,Narrativa,Novela
Traducción al francés de : Jean-Marie Saint-lu.,217637,Dis-leur qu'ils ne sont que cadavres,2013,Belfond,,,,,,Littérature étrangère,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Jean-Marie Saint-lu.,217638,La fête de l'ours,2011,Belfond,,,,,,Littérature étrangère,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Jean-Marie Saint-lu.,217640,La dernière heure du dernier jour,2008,Belfond,,,,,,Littérature étrangère,París,Francia,Francés,Narrativa,Novela
Traducción al francés de : Jean-Marie Saint-lu.,217641,Les exilés de la mémoire,2007,Belfond,,,,,,Littérature étrangère,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Gérard de Cortanze.,217642,Tu mourras ailleurs,1988,Éditions de la Différence,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Ugné Karvelis.,217643,La castañeda,1988,Éditions de la Différence,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Annie Morvan.,217645,Mal d'amour,1998,Belfond,,,,,,Littérature étrangère,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Robert Marrast.,217661,La mort d'Artemio Cruz,1966,Gallimard,,,,,,Du monde entier,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Irma Sayol.,217663,La légende des soleils,1989,Seuil,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Irma Sayol.,217665,Le Seigneur des derniers jours : visions de l'an mil,1996,Seuil,,,,,,Cadre vert,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Irma Sayol.,217667,1492 : mémoires du Nouveau Monde,1992,Seuil,,,,,,Cadre vert,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Jean-Claude Masson.,217669,1492 : les aventures de Juan Cabezón de Castille,1990,Seuil,,,,,,Cadre vert,París,Francia,Francés,Narrativa,Novela
Traducción al francés de : Bernard Cohen.,217670,Esperanza et ses saints,1999,R. Laffont,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de : Jean-Marie Saint-lu.,217675,Carlitos qui êtes aux cieux,2007,Belfond,,,,,,Littérature étrangère,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Claude Bleton.,217677,Moi,2011,Seuil,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de : François Gaudry.,217680,Ces ruines que tu vois,2001,Phébus,,,,,,Littérature étrangère,París,Francia,Francés,Narrativa,Novela
Traducción al francés de : Robert Marrast.,217681,La plus limpide région,1982,Gallimard,,,,,,Folio,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Marion Gary. Prefacio y traducción de: Joani Hocquenghem.,217685,La nuit de Tlatelolco,2014,CMDE Éditions,,,,,,,Toulouse,Francia,Francés,Narrativa,Crónica
Traducción al francés de : François Martin.,217719,Après l'hiver,2016,Buchet Chastel,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de : Nelly Lhermillier. Traducción al francés de : François Gaudry. Traducción al francés de: Gabriel Iaculli. Traducción al francés de: Bertille Hausberg. Traducción al francés de: Marianne Millon. Traducción al francés de: René Solis. Traducción al francés de: Liliane Hasson. Traducción al francés de: André Gabastou. Traducción al francés de: Danielle Zaslavsky. Traducción al francés de: Claude Couffon.,217721,Des nouvelles du Mexique,2009,Métailié,,,,,,,París,Francia,Francés,Narrativa,Cuento
Traducción al francés de: Caroline Lepage.,217722,Archanges : douze histoires de révolutionnaires sans révolution possible,2001,Métailié,,,,,,,París,Francia,Francés,Ensayo,
Traducción al francés de : Serge Mestre.,217723,Mort subite,2016,Buchet Chastel,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Delphine Valentin.,217724,La vie de couple des poissons rouges,2015,Buchet Chastel,,,,,,,París,Francia,Francés,Narrativa,Cuento
Traducción al francés de : François Gaudry.,217725,Ces foutus tropiques,2003,Métailié,,,,,,,París,Francia,Francés,Ensayo,
Traducción al francés de: René Solis. Traducción al francés de: Mara Hernández.,217726,De passage,1995,Métailié,,,,,,,París,Francia,Francés,Narrativa,Novela
,217729,La fragile Armada : La marche des zapatistes,2001,Métailié,,,,,,,París,Francia,Francés,Ensayo,
Traducción al francés de: Claude Couffon.,217732,Le ciel à belles dents,2001,Métailié,,,,,,Bibliothèque Hispano-Américaine,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Marianne Millon.,217740,Les Mots croisés,2009,Éditions Corti,,,,,,,París,Francia,Francés,Narrativa,Cuento
Traducción al francés de: Claude Bleton.,217743,"Moi, la fille qui plongeait dans le coeur du monde",2013,Points,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Claude Bleton.,217744,Si nous vivions dans un endroit normal,2014,Actes Sud,,,,,,Lettres latino-américaines,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Claude Fell.,217745,Les Greffiers du diable,2011,Actes Sud,,,,,,Lettres latino-américaines,París,Francia,Francés,Narrativa,Novela
Traducción al francés de : Isabelle Gugnon. Traducción al francés de : Juliette Barbara.,217760,Récif,2014,Buchet Chastel,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de : Isabelle Gugnon.,217761,Balles d'argent,2011,Gallimard,,,,,,Série noire,París,Francia,Francés,Narrativa,Novela
Traducción al francés de : Florence Olivier.,217762,41,2012,Ombres noires,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Santiago Artozqui.,217769,Le sang du désert,2012,Presses de la Cité,,,,,,Sang d'encre,París,Francia,Francés,Narrativa,Novela
Traducción al inglés de: John Pluecker.,217771,Under the bridge : stories from the border = Bajo el puente : relatos desde la frontera,2008,Arte Público,,,,,,,Houston,EUA,Inglés,Narrativa,Cuento
Traducción al francés de : Christilla Vasserot.,217774,Les minutes noires,2009,Christian Bourgois,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Christilla Vasserot.,217776,N'envoyez pas de fleurs,2017,Christian Bourgois,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de : Robert Amutio.,217777,2666,2008,Christian Bourgois,,,,,,Littérature étrangère,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Émile Martel. Traducción al francés de: Nicole Martel.,217779,Amuleto,2013,Christian Bourgois,,,,,,Littérature étrangère,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Robert Amutio.,217812,Anvers,2011,Christian Bourgois,,,,,,Littérature étrangère,París,Francia,Francés,Narrativa,Novela
Traducción al francés de : Robert Amutio.,217813,Appels téléphoniques,2008,Christian Bourgois,,,,,,Littérature étrangère,París,Francia,Francés,Narrativa,Cuento
Traducción al francés de: Robert Amutio.,217814,Des putains meurtrières,2008,Christian Bourgois,,,,,,,París,Francia,Francés,Narrativa,Cuento
Traducción al francés de: Robert Amutio.,217815,Conseils d'un disciple de Morrison à un fanatique de Joyce,2009,Christian Bourgois,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Robert Amutio.,217817,Étoile distante,2006,Christian Bourgois,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Robert Amutio.,217818,Entre parenthèses,2011,Christian Bourgois,,,,,,,París,Francia,Francés,Títulos de géneros varios,
Traducción al francés de: Robert Amutio. Traducción al francés de: Robert Amutio.,217819,La littérature nazie en Amérique,2003,Christian Bourgois,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Robert Amutio.,217820,La piste de glace,2005,Christian Bourgois,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Robert Amutio.,217826,Le secret du mal,2009,Christian Bourgois,,,,,,,París,Francia,Francés,Narrativa,Cuento
Traducción al francés de: Robert Amutio.,217827,Le troisième Reich,2010,Christian Bourgois,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Robert Amutio.,217828,Les chiens romantiques,2012,Christian Bourgois,,,,,,,París,Francia,Francés,Poesía,
Traducción al francés de: Robert Amutio.,217830,Les détectives sauvages,2006,Christian Bourgois,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Robert Amutio.,217832,Monsieur Pain,2013,Christian Bourgois,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Robert Amutio.,217835,Nocturne du Chili,2007,Christian Bourgois,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Robert Amutio.,217837,Trois,2012,Christian Bourgois,,,,,,,París,Francia,Francés,Títulos de géneros varios,
Traducción al francés de: Robert Amutio.,217839,Un petit roman lumpen,2012,Christian Bourgois,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Marie-Ange Brillaud.,217840,Amours d'occasion,2004,Atelier du Gué,,,,,,,París,Francia,Francés,Narrativa,Cuento
Ilustraciones de: Jaime Valdez. Selección de: José Griego y Maestas. Selección de: Rudolfo Anaya.,217841,Cuentos : tales from the Hispanic Southwest : based on stories originally collected by Juan B. Rael,1980,Museum of New Mexico Press,,,,,,,Nuevo México,EUA,Inglés,Narrativa,Cuento
Traducción al francés de : Gabriel Iaculli.,217842,Mexicali city blues,2011,Gallimard,,,,,,Folio policier,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Gabriel Iaculli.,217843,Loverboy,2011,Gallimard,,,,,,Folio policier,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Caroline Le Bris.,217844,Trafics de femmes : enquête sur l'esclavage sexuel dans le monde,2011,Nouveau Monde Éditions,,,,,,,París,Francia,Francés,Ensayo,
"Traducción, recopilación e introducción de: Claude Beausoleil.",217884,Un siècle de poésie mexicaine,2009,Points,,,,,,Poésie,París,Francia,Francés,Poesía,
Traducción al francés de: Marie-Ange Brillaud.,217885,Le voyage sedentaire,1998,Atelier du Gué,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Marie-Ange Brillaud.,217886,Mexico : ville de papier,2001,Atelier du Gué,,,,,,,París,Francia,Francés,Ensayo,
Traducción al inglés de: Dick Gerdes. Prefacio de: Rubén Gallo.,217887,And let the earth tremble at its centers,2009,University of Texas Press. Austin,,,,,,,Texas,EUA,Inglés,Narrativa,Novela
Prefacio de: Louis Panabière.,217888,La nouvelle contemporaine au Mexique,1997,Instituto Francés de América Latina,Atelier du Gué,,,,,,París,Francia,Francés,Narrativa,Cuento
Traducción al francés de: Jean-Luc Lacarrière. Prefacio de: Philippe Ollé-Laprune.,217889,Elsinore,2001,Atelier du Gué,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Julia Chardavoine.,217890,Gabacho,2017,Éditions Liana Levi,,,,,,Littérature étrangère,París,Francia,Francés,Narrativa,Novela
Traducción y presentación de: Jean-Clarence Lambert.,217891,Poésie du Mexique,1988,Actes Sud,,,,,,Unesco,París,Francia,Francés,Poesía,
Traducción al francés de: François Minaudier.,217892,Le Tyran meur au quatrième coup,2016,Le Tripode Éditions,,,,,,Roman étrangère,París,Francia,Francés,Narrativa,Novela
Traducción al francés de : Gabriel Iaculli.,217893,À mon corps désirant ou la main du feu,2012,Galaade Éditions,,,,,,,París,Francia,Francés,Narrativa,Novela
,217895,Zitilchén,2011,L'Herne,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Gabriel Iaculli.,217896,Et nous irons tous en enfer,2005,Serpent à Plumes,,,,,,Motifs,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Juliette Ponce.,217897,Mariachi,2009,Éditions Denoël,,,,,,Denoël & d'ailleurs,París,Francia,Francés,Narrativa,Cuento
,217898,Cervantès ou la critique de la lecture,2008,L'Herne,,,,,,Carnets de l'Herne,París,Francia,Francés,Ensayo,
Traducción al francés de: Jean Bernier.,217900,Terre de personne,2003,Editions du Boreal,,,,,,,Montreal,Canadá,Francés,Narrativa,Cuento
Traducción al francés de: Serge Mestre.,217901,L'île aux fous,0,Mercure de France,,,,,,,París,Francia,Francés,Narrativa,Novela
,217905,Zia Summer,1995,Warner Books,Warner Books,,,,,,Nueva York,EUA,Inglés,Narrativa,Novela
,217908,Le serpent d'eau,2014,Éditions Paquet,,,,,,,París,Francia,Francés,,
,217913,Les échos invisibles,0,,,,,,,,,,Francés,,
Traducción al español de: Enrique R. Lamadrid. Ilustración de: Amy Córdova.,217950,The Santero's miracle : a bilingual story,2004,University of New Mexico Press,,,,,,,Nuevo México,EUA,Inglés,Narrativa,Cuento
,217960,Espinas,2013,University of Texas Press. Austin,,,,,,,X,EUA,Inglés,Narrativa,Novela
Traducción al francés de: Sabine Coudassot-Ramírez.,217977,Disparaître,2012,DuB Éditions,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al inglés de: Geoff Hargreaves.,217985,Leaving Tabasco: A Novel,2002,Grove Press,,,,,,,Nueva York,EUA,Inglés,Narrativa,Novela
Edición de: Silvio Sirias. Edición de: Bruce Dick.,217986,Conversations with Rudolfo Anaya,1998,University Press of Mississippi,,,,,,,Mississippi,EUA,Inglés,Títulos de géneros varios,
Traducción al francés de: Sabine Coudassot-Ramírez.,217994,Avant,2003,Les Allusifs,,,,,,Roman à rabat,Montreal,Canadá,Francés,Narrativa,Novela
Traducción al francés de: Claude Fell.,217997,Duerme. L'eau des lacs du temps jadis,1999,Éditions du Rocher,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Claude Fell.,217998,"Eux les vaches, nous les porcs",2002,Serpent à Plumes,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Leland H. Chambers.,218000,"They're cows, we're pigs",2001,Grove Press,,,,,,,Nueva York,EUA,Inglés,Narrativa,Novela
Traducción al francés de: Olivier Hamilton.,218025,Mexico noir,2013,Gallimard,,,,,,Folio policier,París,Francia,Francés,Narrativa,Cuento
Traducción al francés de: A. Lehman.,218032,La révolte des pendus,2010,La Découverte,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Shelby Vincent.,218067,Heavens on Earth,2017,Deep Vellum Publishing,,,,,,,Dallas,EUA,Inglés,Narrativa,Novela
Traducción al inglés de: Douglas J. Weatherford.,218069,The golden cockerel and other writings,2017,Deep Vellum Publishing,,,,,,,Dallas,EUA,Inglés,Narrativa,Cuento
Traducción al francés de: Bernard Simon.,218070,L'armée des pauvres,2013,Cherche midi,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Claude Elsen.,218071,Le visiteur du soir,1998,Stock,,,,,,,París,Francia,Francés,Narrativa,Cuento
Traducción al francés de: Mathilde Camhi.,218072,La charrette,2005,La Découverte,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Pascal Vandenberghe.,218074,Le chagrin de saint Antoine : et autres histoires mexicaines,2009,La Découverte,,,,,,,París,Francia,Francés,Narrativa,Cuento
Traducción al francés de: Charles Burghard. Traducción al francés de: Pascal Vandenberghe.,218076,Rosa Blanca,2010,La Découverte,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Adèle Zwicker.,218077,Dans l'État le plus libre du monde,1999,Actes Sud,,,,,,,París,Francia,Francés,Ensayo,
Traducción al francés de: Jacqueline Castet.,218080,Indios,1990,Mon Oct 01 00:00:00 CDT 2018,,,,,,,París,Francia,Francés,Narrativa,
Traducción al francés de: Robert Simon.,218081,Le pont dans la jungle,2004,Gallimard,,,,,,La Noire,París,Francia,Francés,Narrativa,Novela
,218082,Nouvelles mexicaines,2009,Hatier,,,,,,,París,Francia,Francés,Narrativa,Cuento
Traducción al francés de: Isabelle Gugnon. Prefacio de: Vincent Raynaud.,218086,Des os dans le désert,2007,Passage du Nord-Ouest,,,,,,,París,Francia,Francés,Ensayo,
Traducción al francés de: Isabelle Gugnon.,218087,L'homme sans tête,2009,Passage du Nord-Ouest,,,,,,,París,Francia,Francés,Narrativa,Crónica
Traducción al francés de: Claude Couffon.,218090,Le fablier,1996,Éditions Patiño,,,,,,Littératures et cultures latino-américaines,Ginebra,Suiza,Francés,Narrativa,Cuento
Traducción al francés de: Anne Wets. Traducción al francés de: Bernard Goorden.,218104,Histoires de trains fantastiques,1980,Librairie des Champs-Élysées,,,,,,Histoires fantastiques,París,Francia,Francés,Narrativa,Cuento
Traducción al francés de: Anatole Muchnik. Traducción al francés de: Joani Hocquenghem. Traducción al francés de: Laure Heuze. Traducción al francés de: Jérôme Baschet. Traducción al francés de: Corinne Gassie.,218109,Contes rebelles : récits du sous-commandant Marcos,2014,Le Muscadier,,,,,,,París,Francia,Francés,Narrativa,Cuento
Traducción al francés de: Françoise Escarpit. Ilustraciones de: Domitila Domínguez.,218131,La grande histoire des couleurs,2006,Syros jeunesse,,,,,,Albums jeunesse,París,Francia,Francés,Narrativa,
Traducción al francés de: Susanne Lange.,218133,Verfolgt,1996,Aufbau,,,,,,,Berlín,Alemania,Alemán,Narrativa,Novela
,218134,Contes Maya,2001,L'Esprit frappeur,,,,,,,París,Francia,Francés,Narrativa,Cuento
Traducción al francés de: Anatole Muchnik. Traducción al francés de: José Saramago. Ilustraciones de: Beatrix Aurora.,218136,Don Durito de la forêt Lacandone,2004,Les éditions de la mauvaise graine,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Françoise Escarpit. Ilustraciones de: Benoit Morel.,218137,Le récit du vieil Antonio : ou quand les indiens du Chiapas nous racontent l'indispensable diversité,2011,Oskar,,,,,,,París,Francia,Francés,Narrativa,Cuento
Traducción al alemán de: Susanne Lange.,218138,Das Vorrecht des Auges. Über Kunst und Künstler,2001,Suhrkamp Verlag,,,,,,,Berlín,Alemania,Alemán,,
Traducción al francés de: Florence Olivier.,218140,Cartouche : histoires vraies de la révolution mexicaine,2009,Caractères,,,,,,Imaginaires du monde,París,Francia,Francés,Narrativa,Cuento
Traducción al alemán de: Christian Hansen.,218141,Um Mitternacht,2015,Suhrkamp Verlag,,,,,,,Berlín,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Georg Adolf Narciß.,218144,Die Eroberung von Mexiko,2017,Suhrkamp Verlag,,,,,,,Berlín,Alemania,Alemán,Narrativa,Crónica
Traducción al francés de: Francis de Miomandre.,218145,Hommes de maïs,1967,Albin Michel,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Rodrigo de Zayas. Prefacio de: Miguel Ángel Asturias.,218146,La conjuration de Xinum,1998,E. Flammarion,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al alemán de: Thomas Brovot.,218147,Reise zum Vogel Simurgh,2012,Suhrkamp Verlag,,,,,,,Berlín,Alemania,Alemán,Narrativa,Novela
Traducción al italiano de: Roberto Serrai. Dirección de: Michele Botallico.,218157,La magia di Ultima,1996,Giunti Gruppo Editoriale,,,,,,,Florencia,Italia,Italiano,Narrativa,Novela
Traducción al alemán de: Matthias Strobel.,218182,Das Pazifische Kartell,2012,Suhrkamp Verlag,,,,,,,Berlín,Alemania,Alemán,Narrativa,Novela
Traducción al francés de: Robert Amutio.,218183,Fables à l'usage des brebis galeuses,1995,André Dimanche,,,,,,,Marsella,Francia,Francés,Narrativa,Cuento
Traducción al francés de: Georges Colomer. Traducción al francés de: Josette Colomer.,218186,Canek : histoire et légende d'un héros maya = Historia y leyenda de un héroe maya,1988,Éditions du Borrégo,,,,,,,París,Francia,Francés,Narrativa,Novela
Presentación y traducción de: Pierre Desruisseaux. Colaboración de: Daisy Amaya.,218187,"Popol Vuh, le livre de la communauté : texte sacré des Mayas-Quichés",2006,Castor astral,,,,,,,Pantin,Francia,Francés,Títulos de géneros varios,
Edición de: Benjamin Péret.,218188,"Anthologie des mythes, légendes et contes populaires d'Amérique",1989,Albin Michel,,,,,,,París,Francia,Francés,Narrativa,Cuento
,218190,Tortuga,1990,"WL, Krakow",,,,,,,Ossy,Polonia,Polaco,Narrativa,Novela
Traducción y presentación de: Benjamin Péret.,218192,Le livre de Chilam Balam de Chumayel,1955,Éditions Denoël,,,,,,,París,Francia,Francés,Narrativa,
Traducción al francés de : Jean Rose.,218195,La Légende des soleils : mythes aztèques des origines suivi de l’Histoire du Mexique d’André Theve,2007,Anacharsis,,,,,,Famagouste,Toulouse,Francia,Francés,Narrativa,
Traducción al francés de: Jacques Aubergy.,218197,Chroniques de Chiapas = Crónicas de Chiapas,2011,Editions L'atinoir,,,,,,,Marsella,Francia,Francés,Narrativa,Crónica
Traducción al francés de: Jacques Aubergy.,218198,"Irapuato, mon amour et autres histoires vécues dans des usines",2011,Editions L'atinoir,,,,,,,Marsella,Francia,Francés,Narrativa,Cuento
Traducción al francés de: Jacques Aubergy.,218199,Iode,2009,Editions L'atinoir,,,,,,,Marsella,Francia,Francés,Narrativa,Novela
Traducción al francés de: Jacques Aubergy.,218201,Los albañiles (Qui a tué don Jesús ?),2009,Editions L'atinoir,,,,,,,Marsella,Francia,Francés,Narrativa,Novela
Traducción al francés de: Jacques Aubergy.,218202,Fausse lumière,2008,Editions L'atinoir,,,,,,,Marsella,Francia,Francés,Narrativa,Novela
Traducción al francés de: Jacques Aubergy.,218203,Almagro dans ses brumes,2007,Editions L'atinoir,,,,,,,Marsella,Francia,Francés,Narrativa,Novela
Traducción al francés de: Éric Moreau. Traducción al francés de: Jean-Baptiste Bernet.,218237,La chute,2010,Presses de la Cité,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de : Hélène Collon.,218238,La lignée,2009,Presses de la Cité,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Éric Moreau. Traducción al francés de: Jacques Martinache.,218239,La nuit éternelle,2011,Presses de la Cité,,,,,,,París,Francia,Francés,Narrativa,Novela
"Prefacio, traducción y notas: Sylvie Miller.",218241,Dimension latino,2007,Black Coat Press,,,,,,Rivière Blanche - Fusée; 2,Pamiers,Francia,Francés,Narrativa,Cuento
Traducción al francés de: Françoise Roy.,218247,Naviguer est un oiseau de brume = Navegar es un pájaro de bruma,2010,Mantis Editores,Écrits des Forges,,,,,,Guadalajara,México,Francés,Poesía,
Traducción al francés de: Jean Camp.,218249,Plus dure sera la faim,2014,13e Note Éditions,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción de: Christine Monot.,218250,Le mot magique,2006,Passage du Nord-Ouest,,,,,,,París,Francia,Francés,Narrativa,Cuento
Traducción al francés de: Philippe Mikriammos.,218251,Le Serpent à plumes et autres oeuvres mexicaines,2011,Bouquins,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al inglés de: David Unger. Ilustraciones de: Domitila Domínguez. Colaboración de: Dante Liano.,218252,The girl from Chimel,2005,House of Anansi,,,,,,,Toronto,Canadá,Inglés,Narrativa,Cuento
Traducción al inglés de: Susan Ouriou. Ilustraciones de: Pablo Serrano.,218254,La Malinche : the princess who helped Cortes conquer the aztec empire,2012,House of Anansi,,,,,,,Toronto,Canadá,Inglés,Títulos de géneros varios,
Traducción al francés de: Christine Monot.,218286,Mouvement pérpetuel,2004,Passage du Nord-Ouest,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al francés de: Christine Monot.,218287,La lettre e : fragments d'un journal,2009,Passage du Nord-Ouest,,,,,,,París,Francia,Francés,Narrativa,Novela
Traducción al alemán de: Christel Dobenecker.,218288,Reif sein ist alles und der Rest ist Schweigen : einzig wahrhaftige und autorisierte Version von Leben und Werk des unsterblichen Don Eduardo Torres aus San Blas,1992,Volk und Welt,,,,,,,Berlín,Alemania,Alemán,Narrativa,Novela
Traducción al alemán de: Karl August Horst.,218289,"Der Frosch, der ein richtiger Frosch sein wollte : Kurzprosa",1986,Reclam,,,,,,,Leipzig,Alemania,Alemán,Narrativa,Cuento
Traducción al alemán de: Thomas Wollermann.,218290,¡Es reicht! Der Fall Mexiko : warum wir eine neue globale Drogenpolitik brauchen,2015,Antje Kunstmann,,,,,,,Munich,Alemania,Alemán,Ensayo,
Traducción al alemán de: Susanne Lange.,218291,Der fremde Tod,1998,Suhrkamp Verlag,,,,,,,Fráncfort del Meno,Alemania,Alemán,Narrativa,Novela
Traducción al italiano de: G. Capogna.,218292,La parola magica,2001,Fahrenheit 451,,,,,,,Roma,Italia,Italiano,Narrativa,Novela
Ilustraciones de: Domitila Domínguez.,218306,Napí,2004,House of Anansi,,,,,,,Toronto,Canadá,Inglés,,
Ilustraciones de: Domitila Domínguez.,218307,Napí funda un pueblo = Napi makes a village,2010,House of Anansi,,,,,,,Toronto,Canadá,Inglés,Narrativa,Cuento
Ilustraciones de: Domitila Domínguez.,218309,Napi goes to the mountain,2006,House of Anansi,,,,,,,Toronto,Canadá,Inglés,Narrativa,Cuento
Ilustraciones de: Domitila Domínguez. Ilustraciones de: Antonio Ramírez.,218310,Questions &amp; Swords : Folktales of the Zapatista Revolution,2001,Cinco Puntos Press,,,,,,,El Paso,EUA,Inglés,Narrativa,Cuento
Ilustraciones de: Domitila Domínguez.,218311,The story of colors = La historia de los colores,1999,Cinco Puntos Press,,,,,,,El Paso,EUA,Inglés,Narrativa,Cuento
Traducción al inglés de: William I. Neuman.,218312,The Shadow of the Shadow,2006,Cinco Puntos Press,,,,,,,El Paso,EUA,Inglés,Narrativa,Novela
Traducción al inglés de: Martin Roberts.,218313,Just passing through,200,Cinco Puntos Press,,,,,,,El Paso,EUA,Inglés,Narrativa,Novela
Traducción al inglés de: Bill Verner.,218315,Frontera Dreams : a Héctor Belascoarán Shayne detective novel,2002,Cinco Puntos Press,,,,,,,El Paso,EUA,Inglés,,
,218316,Dulcinée,1994,"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura",,,,,,,,,Francés,Narrativa,Novela
,218321,"Sun, Stone, and Shadows: 20 Great Mexican Short Stories",2008,Fondo de Cultura Económica,,,,,,Tezontle,X,EUA,Inglés,Narrativa,Cuento
Traducción al francés de: Albert Bensoussan.,218338,La maison qui brule la nuit,1975,Albin Michel,,,,,,,París,Francia,Francés,Narrativa,Novela
Algunas traducciones de: François-Michel Durazzo.,218339,Nouvelles du Mexique,2009,Magellan et Cie,,,,,,Miniatures,París,Francia,Francés,Narrativa,Cuento
Traducción al francés de: François-Michel Durazzo.,218340,Confiance du vent,2014,Éditions du Noroît,,,,,,Résonance,Montreal,Canadá,Francés,Poesía,
